Total 566650
     34 suffered
     34 steward
     34 softly
     34 satisfied
     34 removed
     34 proud
     34 proposed
     34 princess'
     34 pause
     34 paris
     34 no!
     34 lavrushka
     34 ix
     34 iv
     34 imagination
     34 ii
     34 hung
     34 hounds
     34 hide
     34 gutenberg
     34 friendship
     34 fields
     34 empty
     34 ease
     34 dropped
     34 drink
     34 detachment
     34 daniel
     34 cheeks
     34 calling
     34 alexeevich
     33 wishes
     33 wind
     33 weary
     33 watch
     33 waited
     33 uniforms
     33 touch
     33 tormented
     33 stayed
     33 shone
     33 saved
     33 sang
     33 regiments
     33 reasons
     33 public
     33 political
     33 persons
     33 paces
     33 ordinary
     33 official
     33 nearest
     33 loving
     33 lightly
     33 interested
     33 inquiringly
     33 innumerable
     33 grief
     33 governor's
     33 gloomy
     33 glittering
     33 extraordinary
     33 essential
     33 entrance
     33 east
     33 doctors
     33 directly
     33 deal
     33 companion
     33 clean
     33 capture
     33 borzois
     33 beat
     33 baby
     33 awaited
     33 anteroom
     33 animal
     33 agreed
     32 younger
     32 xv
     32 xiii
     32 wagons
     32 views
     32 trouble
     32 square
     32 sought
     32 sigh
     32 served
     32 servant
     32 seriously
     32 say:
     32 ridden
     32 remark
     32 reaching
     32 pulled
     32 pace
     32 opportunity
     32 offended
     32 nations
     32 motionless
     32 moral
     32 lifting
     32 leaned
     32 i?
     32 hanging
     32 guard
     32 governor
     32 gay
     32 disappeared
     32 dessalles
     32 blow
     32 becoming
     32 attentively
     32 armchair
     32 absorbed
     32 abroad
     31 worthy
     31 week
     31 unnatural
     31 thick
     31 sónya's
     31 summer
     31 suggested
     31 start
     31 spiritual
     31 senseless
     31 redoubt
     31 recognizing
     31 portrait
     31 plump
     31 peoples
     31 peculiar
     31 otradnoe
     31 needs
     31 meanwhile
     31 ivánovich
     31 interesting
     31 ilyá
     31 go!
     31 forty
     31 fool
     31 eyebrows
     31 external
     31 existence
     31 executed
     31 esaul
     31 engaged
     31 eagerly
     31 distinguished
     31 dispositions
     31 demand
     31 delicate
     31 deeply
     31 cousin
     31 breathing
     31 alarm
     30 swaying
     30 supposed
     30 separated
     30 realize
     30 pushing
     30 proved
     30 pray
     30 pipe
     30 permission
     30 opening
     30 noise
     30 month
     30 land
     30 hollow
     30 hare
     30 friendly
     30 fit
     30 fires
     30 exhausted
     30 excuse
     30 excellent
     30 english
     30 elder
     30 eager
     30 dry
     30 diplomatic
     30 despair
     30 described
     30 couple
     30 consisted
     30 concerning
     30 commands
     30 closer
     30 belonged
     30 awkward
     30 aroused
     30 answering
     30 announced
     30 advantage
     30 address
     30 about?
     30 (she
     29 willarski
     29 wide
     29 welfare
     29 wars
     29 wants
     29 vous
     29 virtue
     29 vasíli's
     29 transferred
     29 thanks
     29 sword
     29 staying
     29 spirits
     29 song
     29 slept
     29 shevardino
     29 seated
     29 screamed
     29 rules
     29 retired
     29 reproach
     29 regular
     29 refuse
     29 reflected
     29 prussia
     29 pride
     29 palace
     29 painful
     29 nicholas'
     29 nature
     29 mysterious
     29 mention
     29 mental
     29 masses
     29 marrying
     29 inevitable
     29 indicated
     29 hurry
     29 hurried
     29 hospital
     29 hero
     29 helped
     29 gentleman
     29 fourth
     29 footmen
     29 flying
     29 fifteen
     29 fellows
     29 exist
     29 emperors
     29 dunyasha
     29 duke
     29 dogs
     29 do?
     29 dignity
     29 delighted
     29 clothes
     29 candle
     29 campfires
     29 calèche
     29 break
     29 authority
     29 attacked
     29 arrange
     29 animation
     29 ah!
     28 why?
     28 weyrother
     28 weakness
     28 villages
     28 uhlans
     28 tired
     28 this?
     28 stationed
     28 share
     28 rosy
     28 refused
     28 promise
     28 parents
     28 paced
     28 nobody
     28 mere
     28 mercy
     28 melancholy
     28 lodge
     28 judge
     28 invited
     28 intently
     28 information
     28 icons
     28 heavily
     28 good-natured
     28 figures
     28 fifty
     28 exactly
     28 evil
     28 entirely
     28 duties
     28 dissatisfied
     28 dirty
     28 desired
     28 dared
     28 cruel
     28 crowds
     28 conviction
     28 charge
     28 changing
     28 autumn
     28 approach
     28 advice
     27 worth
     27 whip
     27 walls
     27 vilna
     27 value
     27 utter
     27 useless
     27 tree
     27 toll
     27 to?
     27 timókhin
     27 throwing
     27 them!
     27 tarutino
     27 stories
     27 slight
     27 shame
     27 seeking
     27 rows
     27 restrain
     27 rank
     27 private
     27 prepare
     27 plainly
     27 personally
     27 october
     27 mistake
     27 memories
     27 marching
     27 makes
     27 lose
     27 lives
     27 kremlin
     27 joseph
     27 insignificant
     27 i'd
     27 hélène's
     27 hurt
     27 haven't
     27 grow
     27 forever
     27 finally
     27 favor
     27 fat
     27 facing
     27 ermolov
     27 equal
     27 entrusted
     27 electronic
     27 eldest
